HEO_file,relaxed_file,final_fmax (eV/Å),composition,A1,A2,A3,A4,A5,B,SynthPred,SVM score
HEO1.vasp,HEO1_rlx.vasp,0.003940172,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Al2O4,Mg,Mn,Cu,Ag,Fe,Al,0.9347628,0.694345175
HEO3.vasp,HEO3_rlx.vasp,0.005834579,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Al2O4,Mg,Mn,Cu,Ag,Ni,Al,0.8791988,0.654973112
HEO5.vasp,HEO5_rlx.vasp,0.001003636,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Al2O4,Mg,Mn,Cu,Ag,Zn,Al,0.86266947,0.762243786
HEO6.vasp,HEO6_rlx.vasp,0.006752223,Mg0.2Mn0.2Cu0.2Ag0.2Zn0.2Ti2O4,Mg,Mn,Cu,Ag,Zn,Ti,0.7614819,0.730590579
HEO9.vasp,HEO9_rlx.vasp,0.003358722,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Al2O4,Mg,Mn,Cu,Fe,Ni,Al,0.79690945,0.844119362
HEO10.vasp,HEO10_rlx.vasp,0.005974887,Mg0.2Mn0.2Cu0.2Fe0.2Ni0.2Ti2O4,Mg,Mn,Cu,Fe,Ni,Ti,0.6982256,0.829949892
HEO14.vasp,HEO14_rlx.vasp,0.006334714,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Al2O4,Mg,Mn,Cu,Fe,Zn,Al,0.8791415,0.883480627
HEO15.vasp,HEO15_rlx.vasp,0.009266332,Mg0.2Mn0.2Cu0.2Fe0.2Zn0.2Ti2O4,Mg,Mn,Cu,Fe,Zn,Ti,0.7599178,0.914795112
HEO21.vasp,HEO21_rlx.vasp,0.003034621,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Al2O4,Mg,Mn,Cu,Ni,Zn,Al,0.8243287,0.855347297
HEO22.vasp,HEO22_rlx.vasp,0.005258011,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2Ti2O4,Mg,Mn,Cu,Ni,Zn,Ti,0.7272818,0.939867347
HEO24.vasp,HEO24_rlx.vasp,0.007574111,Mg0.2Mn0.2Cu0.2Ni0.2Zn0.2V2O4,Mg,Mn,Cu,Ni,Zn,V,0.70584124,0.805539924
HEO27.vasp,HEO27_rlx.vasp,0.000197537,Mg0.2Mn0.2Ag0.2Fe0.2Ni0.2Al2O4,Mg,Mn,Ag,Fe,Ni,Al,0.87123877,0.728653681
HEO29.vasp,HEO29_rlx.vasp,0.001029333,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Al2O4,Mg,Mn,Ag,Fe,Zn,Al,0.8649988,0.816500687
HEO30.vasp,HEO30_rlx.vasp,0.007590562,Mg0.2Mn0.2Ag0.2Fe0.2Zn0.2Ti2O4,Mg,Mn,Ag,Fe,Zn,Ti,0.7502228,0.795570196
HEO33.vasp,HEO33_rlx.vasp,0.000366434,Mg0.2Mn0.2Ag0.2Ni0.2Zn0.2Al2O4,Mg,Mn,Ag,Ni,Zn,Al,0.82467127,0.79030596
HEO34.vasp,HEO34_rlx.vasp,0.007944328,Mg0.2Mn0.2Ag0.2Ni0.2Zn0.2Ti2O4,Mg,Mn,Ag,Ni,Zn,Ti,0.7519848,0.767613961
HEO35.vasp,HEO35_rlx.vasp,0.006335825,Mg0.2Mn0.2Ag0.2Ni0.2Zn0.2V2O4,Mg,Mn,Ag,Ni,Zn,V,0.6552473,0.650835434
HEO37.vasp,HEO37_rlx.vasp,0.005931988,Mg0.2Mn0.2Fe0.2Ni0.2Zn0.2Al2O4,Mg,Mn,Fe,Ni,Zn,Al,0.7387769,0.899875125
HEO38.vasp,HEO38_rlx.vasp,0.009242078,Mg0.2Mn0.2Fe0.2Ni0.2Zn0.2Ti2O4,Mg,Mn,Fe,Ni,Zn,Ti,0.7753552,0.929815247
HEO40.vasp,HEO40_rlx.vasp,0.0085814,Mg0.2Mn0.2Fe0.2Ni0.2Zn0.2V2O4,Mg,Mn,Fe,Ni,Zn,V,0.6004981,0.878873229
HEO44.vasp,HEO44_rlx.vasp,0.000264503,Mg0.2Cu0.2Ag0.2Fe0.2Ni0.2Al2O4,Mg,Cu,Ag,Fe,Ni,Al,0.8788923,0.74098305
HEO46.vasp,HEO46_rlx.vasp,0.002756831,Mg0.2Cu0.2Ag0.2Fe0.2Zn0.2Al2O4,Mg,Cu,Ag,Fe,Zn,Al,0.89349586,0.825325135
HEO47.vasp,HEO47_rlx.vasp,0.004368212,Mg0.2Cu0.2Ag0.2Fe0.2Zn0.2Ti2O4,Mg,Cu,Ag,Fe,Zn,Ti,0.76237935,0.797682242
HEO48.vasp,HEO48_rlx.vasp,0.005982727,Mg0.2Cu0.2Ag0.2Fe0.2Zn0.2V2O4,Mg,Cu,Ag,Fe,Zn,V,0.62399524,0.692426096
HEO50.vasp,HEO50_rlx.vasp,0.006949855,Mg0.2Cu0.2Ag0.2Ni0.2Zn0.2Al2O4,Mg,Cu,Ag,Ni,Zn,Al,0.8383346,0.794925942
HEO51.vasp,HEO51_rlx.vasp,0.00273364,Mg0.2Cu0.2Ag0.2Ni0.2Zn0.2Ti2O4,Mg,Cu,Ag,Ni,Zn,Ti,0.7492456,0.764231642
HEO52.vasp,HEO52_rlx.vasp,0.006873816,Mg0.2Cu0.2Ag0.2Ni0.2Zn0.2V2O4,Mg,Cu,Ag,Ni,Zn,V,0.713443,0.626942833
HEO54.vasp,HEO54_rlx.vasp,0.002382845,Mg0.2Cu0.2Fe0.2Ni0.2Zn0.2Al2O4,Mg,Cu,Fe,Ni,Zn,Al,0.7757609,0.891346088
HEO55.vasp,HEO55_rlx.vasp,0.006641906,Mg0.2Cu0.2Fe0.2Ni0.2Zn0.2Ti2O4,Mg,Cu,Fe,Ni,Zn,Ti,0.70803565,0.955416196
HEO56.vasp,HEO56_rlx.vasp,0.002791911,Mg0.2Cu0.2Fe0.2Ni0.2Zn0.2Fe2O4,Mg,Cu,Fe,Ni,Zn,Fe,0.62410444,0.950035474
HEO57.vasp,HEO57_rlx.vasp,0.006184787,Mg0.2Cu0.2Fe0.2Ni0.2Zn0.2V2O4,Mg,Cu,Fe,Ni,Zn,V,0.6970327,0.849288954
HEO61.vasp,HEO61_rlx.vasp,0.003255129,Mg0.2Ag0.2Fe0.2Ni0.2Zn0.2Al2O4,Mg,Ag,Fe,Ni,Zn,Al,0.8206085,0.847456408
