A1,A2,A3,A4,A5,B,composition,Pred_Phase_p06
Mg,Mn,Cu,Ag,Fe,Ag,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ag2O4,0
Mg,Mn,Cu,Ag,Fe,Al,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Al2O4,1
Mg,Mn,Cu,Ag,Fe,B,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2B2O4,0
Mg,Mn,Cu,Ag,Fe,Bi,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Bi2O4,1
Mg,Mn,Cu,Ag,Fe,Ti,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ti2O4,0
Mg,Mn,Cu,Ag,Fe,Co,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Co2O4,0
Mg,Mn,Cu,Ag,Fe,Cr,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Cr2O4,0
Mg,Mn,Cu,Ag,Fe,Cu,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Cu2O4,0
Mg,Mn,Cu,Ag,Fe,Fe,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Fe2O4,0
Mg,Mn,Cu,Ag,Fe,V,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2V2O4,0
Mg,Mn,Cu,Ag,Fe,Ga,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ga2O4,1
Mg,Mn,Cu,Ag,Fe,In,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2In2O4,0
Mg,Mn,Cu,Ag,Fe,Mn,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Mn2O4,0
Mg,Mn,Cu,Ag,Fe,Mo,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Mo2O4,0
Mg,Mn,Cu,Ag,Fe,N,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2N2O4,0
Mg,Mn,Cu,Ag,Fe,Nb,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Nb2O4,0
Mg,Mn,Cu,Ag,Fe,Ni,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ni2O4,0
Mg,Mn,Cu,Ag,Fe,Ru,Mg0.2Mn0.2Cu0.2Ag0.2Fe0.2Ru2O4,1
Mg,Mn,Cu,Ag,Ni,Ag,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ag2O4,1
Mg,Mn,Cu,Ag,Ni,Al,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Al2O4,1
Mg,Mn,Cu,Ag,Ni,B,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2B2O4,0
Mg,Mn,Cu,Ag,Ni,Bi,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Bi2O4,1
Mg,Mn,Cu,Ag,Ni,Ti,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Ti2O4,0
Mg,Mn,Cu,Ag,Ni,Co,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Co2O4,0
Mg,Mn,Cu,Ag,Ni,Cr,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Cr2O4,0
Mg,Mn,Cu,Ag,Ni,Cu,Mg0.2Mn0.2Cu0.2Ag0.2Ni0.2Cu2O4,0
