material_id,formula,num_sites,spacegroup,A,B
mp-27719,Al2CuO4,14,Fd-3m,Cu,Al
mp-30084,Al2FeO4,14,Fd-3m,Fe,Al
mp-3536,MgAl2O4,14,Fd-3m,Mg,Al
mp-755882,MnAl2O4,14,Fd-3m,Mn,Al
mp-18900,MgV2O4,14,Fd-3m,Mg,V
mp-35475,MnV2O4,14,Fd-3m,Mn,V
mp-561097,Ti2MnO4,14,Fd-3m,Mn,Ti
mp-27872,MgTi2O4,14,Fd-3m,Mg,Ti
mp-688785,Al2NiO4,14,Fd-3m,Ni,Al
mp-608016,MgFe2O4,14,Fd-3m,Mg,Fe
mp-18750,MnFe2O4,14,Fd-3m,Mn,Fe
mp-770107,CuFe2O4,14,Fd-3m,Cu,Fe
mp-22684,NiFe2O4,14,Fd-3m,Ni,Fe
mp-19313,ZnFe2O4,14,Fd-3m,Zn,Fe
mp-19306,FeFe2O4,14,Fd-3m,Fe,Fe
mp-1047249,ZnTi2O4,14,Fd-3m,Zn,Ti
mp-20167,FeV2O4,14,Fd-3m,Fe,V
mp-18879,ZnV2O4,14,Fd-3m,Zn,V
mp-2908,Al2ZnO4,14,Fd-3m,Zn,Al
